"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","watershed_code","Commodity","Fruit","Category","Domain","Domain.Category","Value","CV...."
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",169,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," ACRES NON-BEARING","TOTAL","NOT SPECIFIED",720,50.2
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",189,39.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",74,98.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",114,34.3
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",36,43.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",47,27.1
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",52,29.4
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",114,63.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA BEARING","TOTAL","NOT SPECIFIED",626,26.9
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",212,42.6
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",76,93.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",114,34.3
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",36,43.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",47,27.1
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",52,29.4
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",114,63.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA GROWN","TOTAL","NOT SPECIFIED",651,27.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (0.1 TO 0.9 ACRES)",32,92
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (1.0 TO 4.9 ACRES)",22,39.5
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (100 OR MORE ACRES)",10,47.4
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (15.0 TO 24.9 ACRES)",1,NA
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (25.0 TO 49.9 ACRES)",3,83.7
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (5.0 TO 14.9 ACRES)",9,68.3
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","AREA GROWN","AREA GROWN: (50.0 TO 99.9 ACRES)",8,77.8
"CENSUS",2022,"YEAR","STATE","CALIFORNIA",6,"",NA,"",NA,0,"STRAWBERRIES","STRAWBERRIES "," AREA NON-BEARING","TOTAL","NOT SPECIFIED",85,58.8
